| All HIDL binderized services (registered with hwservicemanager)
VINTF    R Interface                                                                                              Thread Use Server Clients
DM,FC    Y vendor.qti.ims.factory@2.1::IImsFactory/default                                                        0/1        1874   
DM,FC    Y vendor.qti.ims.factory@2.2::IImsFactory/default                                                        0/1        1874   
DM,FC    Y vendor.qti.imsrtpservice@3.0::IRTPService/imsrtpservice                                                0/2        1873   
DM,FC    Y vendor.qti.imsrtpservice@3.1::IRTPService/imsrtpservice                                                0/2        1873   
DM,FC    Y vendor.qti.memory.pasrmanager@1.0::IPasrManager/pasrhal                                                0/1        1330   
DM,FC    Y vendor.qti.memory.pasrmanager@1.1::IPasrManager/pasrhal                                                0/1        1330   
DM,FC    Y vendor.qti.qspmhal@1.0::IQspmhal/default                                                               0/1        1342   
DM,FC    Y vendor.qti.spu@1.0::ISPUManager/default                                                                0/3        1240   
DM,FC    Y vendor.qti.spu@1.1::ISPUManager/default                                                                0/3        1240   
DM,FC    Y vendor.qti.spu@2.0::ISPUManager/default                                                                0/3        1225   

| All HIDL interfaces getService() has ever returned as a passthrough interface;
| PIDs / processes shown below might be inaccurate because the process
| might have relinquished the interface or might have died.
| The Server / Server CMD column can be ignored.
| The Clients / Clients CMD column shows all process that have ever dlopen'ed 
| the library and successfully fetched the passthrough implementation.
VINTF R Interface                                                                        Thread Use Server Clients
FC    ? android.hardware.audio.effect@7.0::IEffectsFactory/default                       N/A        N/A    2275
FC    ? android.hardware.audio@7.1::IDevicesFactory/default                              N/A        N/A    2275
X     ? android.hardware.bluetooth.audio@2.0::IBluetoothAudioProvidersFactory/default    N/A        2275   2275
FC    ? android.hardware.bluetooth@1.1::IBluetoothHci/default                            N/A        1174   1174
FC    ? android.hardware.boot@1.2::IBootControl/default                                  N/A        983    983
FC    ? android.hardware.gatekeeper@1.0::IGatekeeper/default                             N/A        1825   1825
FC    ? android.hardware.soundtrigger@2.3::ISoundTriggerHw/default                       N/A        2275   2275
DC,FM ? android.hidl.memory@1.0::IMapper/ashmem                                          N/A        2289   2289
FC    ? com.dsi.ant@1.0::IAnt/default                                                    N/A        1174   1174
FC    ? vendor.qti.esepowermanager@1.1::IEsePowerManager/default                         N/A        1257   1257
FC    ? vendor.qti.hardware.bluetooth_audio@2.0::IBluetoothAudioProvidersFactory/default N/A        2275   2275
FC    ? vendor.qti.hardware.bluetooth_audio@2.1::IBluetoothAudioProvidersFactory/default N/A        2275   2275
FC    ? vendor.qti.hardware.bluetooth_sar@1.1::IBluetoothSar/default                     N/A        1174   1174
FC    ? vendor.qti.hardware.btconfigstore@2.0::IBTConfigStore/default                    N/A        1174   1174
FC    ? vendor.qti.hardware.capabilityconfigstore@1.0::ICapabilityConfigStore/default    N/A        1261   1261
DM,FC ? vendor.qti.hardware.display.mapper@4.0::IQtiMapper/default                       N/A        N/A    1281 1911 2163 2290 2560 2771 2844 2909 3440 16973 17566 19150
FC    ? vendor.qti.hardware.fm@1.0::IFmHci/default                                       N/A        1174   1174
FC    ? vendor.qti.hardware.qseecom@1.0::IQSEECom/default                                N/A        785    785
FC    ? vendor.qti.hardware.sensorscalibrate@1.0::ISensorsCalibrate/default              N/A        1300   1300
FC    ? vendor.qti.hardware.servicetracker@1.2::IServicetracker/default                  N/A        1301   1301
FC    ? vendor.qti.hardware.soter@1.0::ISoter/default                                    N/A        1302   1302

| All available HIDL passthrough implementations (all -impl.so files).
| These may return subclasses through their respective HIDL_FETCH_I* functions.
VINTF R Interface                                                                     Thread Use Server Clients
X     ? android.hardware.audio.effect@2.0::I*/* (/vendor/lib/hw/)                     N/A        N/A    
X     ? android.hardware.audio.effect@2.0::I*/* (/vendor/lib64/hw/)                   N/A        N/A    
X     ? android.hardware.audio.effect@4.0::I*/* (/vendor/lib/hw/)                     N/A        N/A    
X     ? android.hardware.audio.effect@4.0::I*/* (/vendor/lib64/hw/)                   N/A        N/A    
X     ? android.hardware.audio.effect@5.0::I*/* (/vendor/lib/hw/)                     N/A        N/A    
X     ? android.hardware.audio.effect@5.0::I*/* (/vendor/lib64/hw/)                   N/A        N/A    
X     ? android.hardware.audio.effect@6.0::I*/* (/vendor/lib/hw/)                     N/A        N/A    
X     ? android.hardware.audio.effect@6.0::I*/* (/vendor/lib64/hw/)                   N/A        N/A    
